#  E (eV)   dos(E)     Int dos(E)
  1.006  0.7213E+00  0.3892E+00
  1.007  0.7341E+00  0.3899E+00
  1.008  0.7467E+00  0.3907E+00
  1.009  0.7589E+00  0.3914E+00
  1.010  0.7708E+00  0.3922E+00
  1.011  0.7824E+00  0.3930E+00
  1.012  0.7935E+00  0.3938E+00
  1.013  0.8042E+00  0.3946E+00
  1.014  0.8143E+00  0.3954E+00
  1.015  0.8240E+00  0.3962E+00
  1.016  0.8332E+00  0.3971E+00
  1.017  0.8417E+00  0.3979E+00
  1.018  0.8497E+00  0.3988E+00
  1.019  0.8571E+00  0.3996E+00
  1.020  0.8638E+00  0.4005E+00
  1.021  0.8698E+00  0.4013E+00
  1.022  0.8752E+00  0.4022E+00
  1.023  0.8799E+00  0.4031E+00
  1.024  0.8838E+00  0.4040E+00
  1.025  0.8871E+00  0.4049E+00
  1.026  0.8896E+00  0.4058E+00
  1.027  0.8913E+00  0.4067E+00
  1.028  0.8923E+00  0.4075E+00
  1.029  0.8925E+00  0.4084E+00
  1.030  0.8919E+00  0.4093E+00
  1.031  0.8906E+00  0.4102E+00
  1.032  0.8885E+00  0.4111E+00
  1.033  0.8856E+00  0.4120E+00
  1.034  0.8819E+00  0.4129E+00
  1.035  0.8775E+00  0.4138E+00
  1.036  0.8724E+00  0.4146E+00
  1.037  0.8665E+00  0.4155E+00
  1.038  0.8599E+00  0.4164E+00
  1.039  0.8526E+00  0.4172E+00
  1.040  0.8446E+00  0.4181E+00
  1.041  0.8359E+00  0.4189E+00
  1.042  0.8265E+00  0.4197E+00
  1.043  0.8166E+00  0.4205E+00
  1.044  0.8060E+00  0.4213E+00
  1.045  0.7948E+00  0.4221E+00
  1.046  0.7831E+00  0.4229E+00
  1.047  0.7709E+00  0.4237E+00
  1.048  0.7582E+00  0.4244E+00
  1.049  0.7450E+00  0.4252E+00
  1.050  0.7314E+00  0.4259E+00
  1.051  0.7174E+00  0.4266E+00
  1.052  0.7030E+00  0.4273E+00
  1.053  0.6883E+00  0.4280E+00
  1.054  0.6734E+00  0.4287E+00
  1.055  0.6581E+00  0.4294E+00
  1.056  0.6427E+00  0.4300E+00
  1.057  0.6271E+00  0.4306E+00
  1.058  0.6113E+00  0.4312E+00
  1.059  0.5954E+00  0.4318E+00
  1.060  0.5795E+00  0.4324E+00
  1.061  0.5636E+00  0.4330E+00
  1.062  0.5476E+00  0.4335E+00
  1.063  0.5318E+00  0.4341E+00
  1.064  0.5160E+00  0.4346E+00
  1.065  0.5003E+00  0.4351E+00
  1.066  0.4848E+00  0.4356E+00
  1.067  0.4694E+00  0.4360E+00
  1.068  0.4544E+00  0.4365E+00
  1.069  0.4395E+00  0.4369E+00
  1.070  0.4250E+00  0.4373E+00
  1.071  0.4108E+00  0.4378E+00
  1.072  0.3970E+00  0.4382E+00
  1.073  0.3835E+00  0.4385E+00
  1.074  0.3705E+00  0.4389E+00
  1.075  0.3579E+00  0.4393E+00
  1.076  0.3458E+00  0.4396E+00
  1.077  0.3341E+00  0.4399E+00
