#  E (eV)   dos(E)     Int dos(E)
  0.464  0.5603E-01  0.9873E+00
  0.474  0.3409E-01  0.9876E+00
  0.484  0.3308E-01  0.9879E+00
  0.494  0.5564E-01  0.9885E+00
  0.504  0.1078E+00  0.9896E+00
  0.514  0.1956E+00  0.9915E+00
  0.524  0.3178E+00  0.9947E+00
  0.534  0.4588E+00  0.9993E+00
  0.544  0.5878E+00  0.1005E+01
  0.554  0.6682E+00  0.1012E+01
  0.564  0.6740E+00  0.1019E+01
  0.574  0.6031E+00  0.1025E+01
  0.584  0.4789E+00  0.1029E+01
  0.594  0.3373E+00  0.1033E+01
  0.604  0.2108E+00  0.1035E+01
  0.614  0.1169E+00  0.1036E+01
  0.624  0.5752E-01  0.1037E+01
  0.634  0.2511E-01  0.1037E+01
  0.644  0.9725E-02  0.1037E+01
  0.654  0.3342E-02  0.1037E+01
  0.664  0.1019E-02  0.1037E+01
  0.674  0.2756E-03  0.1037E+01
  0.684  0.6614E-04  0.1037E+01
  0.694  0.1408E-04  0.1037E+01
  0.704  0.2660E-05  0.1037E+01
  0.714  0.4458E-06  0.1037E+01
  0.724  0.6630E-07  0.1037E+01
  0.734  0.8746E-08  0.1037E+01
  0.744  0.1024E-08  0.1037E+01
  0.754  0.1063E-09  0.1037E+01
  0.764  0.9793E-11  0.1037E+01
  0.774  0.8004E-12  0.1037E+01
  0.784  0.5810E-13  0.1037E+01
  0.794  0.4925E-14  0.1037E+01
  0.804  0.1917E-13  0.1037E+01
  0.814  0.2675E-12  0.1037E+01
  0.824  0.3347E-11  0.1037E+01
  0.834  0.3716E-10  0.1037E+01
  0.844  0.3658E-09  0.1037E+01
  0.854  0.3193E-08  0.1037E+01
  0.864  0.2473E-07  0.1037E+01
  0.874  0.1698E-06  0.1037E+01
  0.884  0.1034E-05  0.1037E+01
  0.894  0.5587E-05  0.1037E+01
  0.904  0.2677E-04  0.1037E+01
  0.914  0.1138E-03  0.1037E+01
  0.924  0.4290E-03  0.1037E+01
  0.934  0.1435E-02  0.1037E+01
  0.944  0.4262E-02  0.1037E+01
  0.954  0.1124E-01  0.1037E+01
  0.964  0.2632E-01  0.1037E+01
  0.974  0.5488E-01  0.1038E+01
  0.984  0.1020E+00  0.1039E+01
  0.994  0.1696E+00  0.1041E+01
  1.004  0.2534E+00  0.1043E+01
  1.014  0.3428E+00  0.1047E+01
  1.024  0.4239E+00  0.1051E+01
  1.034  0.4849E+00  0.1056E+01
  1.044  0.5188E+00  0.1061E+01
  1.054  0.5235E+00  0.1066E+01
  1.064  0.4997E+00  0.1071E+01
  1.074  0.4502E+00  0.1076E+01
  1.084  0.3835E+00  0.1080E+01
  1.094  0.3145E+00  0.1083E+01
  1.104  0.2621E+00  0.1085E+01
  1.114  0.2413E+00  0.1088E+01
  1.124  0.2551E+00  0.1090E+01
  1.134  0.2921E+00  0.1093E+01
  1.144  0.3302E+00  0.1096E+01
  1.154  0.3466E+00  0.1100E+01
  1.164  0.3285E+00  0.1103E+01
  1.174  0.2780E+00  0.1106E+01
  1.184  0.2091E+00  0.1108E+01
  1.194  0.1397E+00  0.1110E+01
  1.204  0.8274E-01  0.1110E+01
  1.214  0.4348E-01  0.1111E+01
  1.224  0.2026E-01  0.1111E+01
  1.234  0.8377E-02  0.1111E+01
  1.244  0.3071E-02  0.1111E+01
  1.254  0.9985E-03  0.1111E+01
  1.264  0.2879E-03  0.1111E+01
  1.274  0.7363E-04  0.1111E+01
  1.284  0.1670E-04  0.1111E+01
  1.294  0.3359E-05  0.1111E+01
  1.304  0.5993E-06  0.1111E+01
  1.314  0.9482E-07  0.1111E+01
  1.324  0.1330E-07  0.1111E+01
  1.334  0.1656E-08  0.1111E+01
  1.344  0.1827E-09  0.1111E+01
  1.354  0.1789E-10  0.1111E+01
  1.364  0.1553E-11  0.1111E+01
  1.374  0.1198E-12  0.1111E+01
  1.384  0.1167E-13  0.1111E+01
  1.394  0.5373E-13  0.1111E+01
  1.404  0.7174E-12  0.1111E+01
  1.414  0.8572E-11  0.1111E+01
  1.424  0.9086E-10  0.1111E+01
  1.434  0.8540E-09  0.1111E+01
  1.444  0.7119E-08  0.1111E+01
  1.454  0.5264E-07  0.1111E+01
  1.464  0.3451E-06  0.1111E+01
